zone,origin,target_m,method,dist_m,err_pct,exposure_m,hazards_touched,turns_per_km,fallback,osrm_calls,latency_ms
guemes,Güemes y Alvarado,12000,B1,12195,1.63,300,1,0.33,0,5,699
guemes,Güemes y Alvarado,12000,M,12195,1.63,300,1,0.33,0,30,2868
guemes,Plaza Mitre,3000,B0,4448,48.27,0,0,1.57,0,1,137
guemes,Plaza Mitre,3000,B1,3000,0,0,0,0,1,7,918
guemes,Plaza Mitre,3000,M,2964,1.2,0,0,2.02,0,30,2871
guemes,Plaza Mitre,5000,B0,6607,32.14,0,0,0.61,0,1,135
guemes,Plaza Mitre,5000,B1,4882,2.36,0,0,1.02,0,5,669
guemes,Plaza Mitre,5000,M,4853,2.94,0,0,0.82,0,30,4447
guemes,Plaza Mitre,8000,B0,9685,21.06,150,1,0.72,0,1,135
guemes,Plaza Mitre,8000,B1,8400,5,150,1,0.6,0,2,266
guemes,Plaza Mitre,8000,M,7970,0.38,209,1,1,0,30,2891
guemes,Plaza Mitre,12000,B0,13906,15.88,150,1,0.43,0,1,134
guemes,Plaza Mitre,12000,B1,12593,4.94,150,1,0.56,0,4,535
guemes,Plaza Mitre,12000,M,11663,2.81,150,1,0.43,0,30,2888
guemes,Güemes y Rodríguez Peña,3000,B0,4830,61,703,2,1.04,0,1,134
guemes,Güemes y Rodríguez Peña,3000,B1,2924,2.53,494,1,1.37,0,4,528
guemes,Güemes y Rodríguez Peña,3000,M,3137,4.57,0,0,1.28,0,30,3128
guemes,Güemes y Rodríguez Peña,5000,B0,7993,59.86,703,2,0.63,0,1,140
guemes,Güemes y Rodríguez Peña,5000,B1,4830,3.4,703,2,1.04,0,4,536
guemes,Güemes y Rodríguez Peña,5000,M,5041,0.82,0,0,1.59,0,30,3166
guemes,Güemes y Rodríguez Peña,8000,B0,11541,44.26,853,3,0.52,0,1,135
guemes,Güemes y Rodríguez Peña,8000,B1,7993,0.09,703,2,0.63,0,2,263
guemes,Güemes y Rodríguez Peña,8000,M,8385,4.81,0,0,1.19,0,30,3337
guemes,Güemes y Rodríguez Peña,12000,B0,14804,23.37,853,3,0.41,0,1,141
guemes,Güemes y Rodríguez Peña,12000,B1,12448,3.73,853,3,0.48,0,2,270
guemes,Güemes y Rodríguez Peña,12000,M,12158,1.32,0,0,1.23,0,30,2903
costa,Playa Grande,3000,B0,5686,89.53,279,1,0.35,0,1,136
costa,Playa Grande,3000,B1,3000,0,0,0,0,1,7,922
costa,Playa Grande,3000,M,2914,2.87,419,1,0.69,0,30,2970
costa,Playa Grande,5000,B0,7566,51.32,419,2,0.79,0,1,142
