zone,origin,target_m,method,dist_m,err_pct,exposure_m,hazards_touched,turns_per_km,fallback,osrm_calls,latency_ms
sur,Bosque Peralta Ramos,12000,B0,17830,48.58,0,0,0.67,0,1,386
sur,Bosque Peralta Ramos,12000,B1,12346,2.88,0,0,1.38,0,6,787
sur,Bosque Peralta Ramos,12000,M,12316,2.63,0,0,0.89,0,30,2852
sur,Punta Mogotes,3000,B0,5238,74.6,125,1,0.76,0,1,138
sur,Punta Mogotes,3000,B1,3000,0,0,0,0,1,7,920
sur,Punta Mogotes,3000,M,2893,3.57,125,1,1.73,0,30,2798
sur,Punta Mogotes,5000,B0,7470,49.4,125,1,0.8,0,1,132
sur,Punta Mogotes,5000,B1,4942,1.16,125,1,1.21,0,3,508
sur,Punta Mogotes,5000,M,5212,4.24,125,1,1.73,0,30,2796
sur,Punta Mogotes,8000,B0,10459,30.74,1438,2,0.67,0,1,133
sur,Punta Mogotes,8000,B1,8281,3.51,125,1,0.85,0,2,262
sur,Punta Mogotes,8000,M,8289,3.61,125,1,0.24,0,30,2812
sur,Punta Mogotes,12000,B0,14526,21.05,125,1,0.48,0,1,135
sur,Punta Mogotes,12000,B1,11543,3.81,913,2,0.52,0,2,279
sur,Punta Mogotes,12000,M,12004,0.03,125,1,0.33,0,30,3009
